DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43780,41813,18998,33930,50488,2022-04-20
Waitemata,37940,37022,17530,30236,41113,2022-04-20
Auckland,26580,25967,13546,22018,27792,2022-04-20
Counties Manukau,57311,55399,23394,44578,63493,2022-04-20
Waikato,63691,61343,26049,49617,69707,2022-04-20
Lakes,27144,26104,11549,21001,30085,2022-04-20
Bay of Plenty,42006,40259,17258,32452,47734,2022-04-20
Tairawhiti,18021,17332,8279,14092,19839,2022-04-20
Taranaki,14526,14042,5860,11130,15904,2022-04-20
Hawkes Bay,31027,29842,13190,23762,34059,2022-04-20
MidCentral,23007,22277,10318,17869,24225,2022-04-20
Whanganui,11842,11434,5419,9294,13512,2022-04-20
Capital and Coast,25836,25355,14208,21364,26967,2022-04-20
Hutt Valley,18018,17528,8747,14394,19123,2022-04-20
Wairarapa,5946,5738,2600,4628,6302,2022-04-20
Nelson Marlborough,10261,9933,4651,7958,11248,2022-04-20
West Coast,2502,2432,1190,1973,2765,2022-04-20
Canterbury,35533,34750,17397,28219,36969,2022-04-20
South Canterbury,3178,3085,1405,2417,3428,2022-04-20
Southern,22376,21823,10906,17816,23646,2022-04-20
Overseas / Unknown,321,305,122,242,2653,2022-04-20
New Zealand,520846,503783,232616,408990,571052,2022-04-20
