DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43764,41495,16431,28233,50488,2022-03-02
Waitemata,37870,36816,15914,26916,41113,2022-03-02
Auckland,26376,25651,12223,19571,27792,2022-03-02
Counties Manukau,57311,55075,20741,38422,63493,2022-03-02
Waikato,63623,60861,23092,41467,69707,2022-03-02
Lakes,27068,25826,10135,16917,30085,2022-03-02
Bay of Plenty,41938,39882,15311,26076,47734,2022-03-02
Tairawhiti,18014,17210,7303,11507,19839,2022-03-02
Taranaki,14467,13869,5015,9038,15904,2022-03-02
Hawkes Bay,31019,29636,11536,19178,34059,2022-03-02
MidCentral,22927,22027,9105,14488,24225,2022-03-02
Whanganui,11846,11356,4821,7591,13512,2022-03-02
Capital and Coast,25821,25211,12849,18445,26967,2022-03-02
Hutt Valley,17967,17403,7814,11922,19123,2022-03-02
Wairarapa,5895,5645,2276,3679,6302,2022-03-02
Nelson Marlborough,10264,9876,4246,6467,11248,2022-03-02
West Coast,2498,2414,1024,1675,2765,2022-03-02
Canterbury,35388,34399,15279,23527,36969,2022-03-02
South Canterbury,3163,3049,1273,2002,3428,2022-03-02
Southern,22085,21444,9827,15075,23646,2022-03-02
Overseas / Unknown,348,329,112,217,2653,2022-03-02
New Zealand,519652,499474,206327,342413,571052,2022-03-02
