DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43833,41650,17378,29778,50488,2022-03-08
Waitemata,37943,36919,16423,27935,41113,2022-03-08
Auckland,26410,25719,12605,20231,27792,2022-03-08
Counties Manukau,57401,55233,21680,40007,63493,2022-03-08
Waikato,63683,61030,24082,43583,69707,2022-03-08
Lakes,27133,25940,10645,17993,30085,2022-03-08
Bay of Plenty,41983,40007,16061,27587,47734,2022-03-08
Tairawhiti,18030,17255,7698,12170,19839,2022-03-08
Taranaki,14488,13917,5281,9570,15904,2022-03-08
Hawkes Bay,31075,29733,12277,20391,34059,2022-03-08
MidCentral,22953,22103,9535,15258,24225,2022-03-08
Whanganui,11860,11392,5062,8007,13512,2022-03-08
Capital and Coast,25825,25247,13364,19317,26967,2022-03-08
Hutt Valley,17985,17436,8150,12614,19123,2022-03-08
Wairarapa,5901,5660,2388,3939,6302,2022-03-08
Nelson Marlborough,10271,9905,4362,6851,11248,2022-03-08
West Coast,2503,2422,1077,1750,2765,2022-03-08
Canterbury,35438,34506,16009,25040,36969,2022-03-08
South Canterbury,3165,3057,1320,2109,3428,2022-03-08
Southern,22159,21515,10138,15850,23646,2022-03-08
Overseas / Unknown,343,327,117,222,2653,2022-03-08
New Zealand,520382,500973,215652,360202,571052,2022-03-08
