DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43767,41789,18703,32921,50488,2022-03-31
Waitemata,37931,36980,17253,29796,41113,2022-03-31
Auckland,26540,25894,13313,21586,27792,2022-03-31
Counties Manukau,57311,55342,23001,43471,63493,2022-03-31
Waikato,63658,61247,25591,48185,69707,2022-03-31
Lakes,27110,26042,11370,20241,30085,2022-03-31
Bay of Plenty,41957,40167,17063,31334,47734,2022-03-31
Tairawhiti,18003,17280,8172,13593,19839,2022-03-31
Taranaki,14513,14021,5778,10697,15904,2022-03-31
Hawkes Bay,31050,29829,13043,22878,34059,2022-03-31
MidCentral,22947,22208,10185,17260,24225,2022-03-31
Whanganui,11841,11433,5360,8972,13512,2022-03-31
Capital and Coast,25835,25330,14074,20973,26967,2022-03-31
Hutt Valley,18004,17509,8643,13986,19123,2022-03-31
Wairarapa,5920,5707,2550,4457,6302,2022-03-31
Nelson Marlborough,10256,9923,4587,7661,11248,2022-03-31
West Coast,2499,2428,1164,1914,2765,2022-03-31
Canterbury,35517,34696,17117,27413,36969,2022-03-31
South Canterbury,3171,3075,1390,2333,3428,2022-03-31
Southern,22258,21685,10722,17285,23646,2022-03-31
Overseas / Unknown,332,314,128,238,2653,2022-03-31
New Zealand,520420,502899,229207,397194,571052,2022-03-31
