DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43879,41735,17842,30529,50488,2022-03-12
Waitemata,37983,36981,16682,28320,41113,2022-03-12
Auckland,26439,25757,12782,20499,27792,2022-03-12
Counties Manukau,57444,55319,22193,40577,63493,2022-03-12
Waikato,63761,61165,24563,44613,69707,2022-03-12
Lakes,27148,26004,10857,18520,30085,2022-03-12
Bay of Plenty,42020,40093,16477,28258,47734,2022-03-12
Tairawhiti,18041,17277,7869,12464,19839,2022-03-12
Taranaki,14500,13957,5445,9825,15904,2022-03-12
Hawkes Bay,31104,29781,12505,20833,34059,2022-03-12
MidCentral,22980,22147,9771,15696,24225,2022-03-12
Whanganui,11868,11415,5167,8198,13512,2022-03-12
Capital and Coast,25853,25300,13599,19649,26967,2022-03-12
Hutt Valley,17993,17457,8326,12857,19123,2022-03-12
Wairarapa,5912,5678,2425,4084,6302,2022-03-12
Nelson Marlborough,10289,9923,4422,7017,11248,2022-03-12
West Coast,2505,2424,1114,1795,2765,2022-03-12
Canterbury,35467,34565,16388,25536,36969,2022-03-12
South Canterbury,3171,3067,1353,2169,3428,2022-03-12
Southern,22191,21561,10327,16133,23646,2022-03-12
Overseas / Unknown,346,331,119,231,2653,2022-03-12
New Zealand,520894,501937,220226,367803,571052,2022-03-12
