DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43635,41225,14740,26812,50488,2022-02-22
Waitemata,37811,36662,14434,25880,41113,2022-02-22
Auckland,26331,25562,11154,18925,27792,2022-02-22
Counties Manukau,57177,54831,18819,36519,63493,2022-02-22
Waikato,63422,60524,20677,39372,69707,2022-02-22
Lakes,26994,25653,9039,16046,30085,2022-02-22
Bay of Plenty,41795,39627,13560,24629,47734,2022-02-22
Tairawhiti,17935,17091,6492,10930,19839,2022-02-22
Taranaki,14405,13757,4425,8493,15904,2022-02-22
Hawkes Bay,30949,29451,10455,18081,34059,2022-02-22
MidCentral,22854,21900,8131,13732,24225,2022-02-22
Whanganui,11803,11272,4401,7212,13512,2022-02-22
Capital and Coast,25775,25097,11473,17760,26967,2022-02-22
Hutt Valley,17935,17307,7045,11419,19123,2022-02-22
Wairarapa,5893,5628,2107,3498,6302,2022-02-22
Nelson Marlborough,10225,9815,3985,6177,11248,2022-02-22
West Coast,2496,2402,950,1583,2765,2022-02-22
Canterbury,35253,34191,13551,22179,36969,2022-02-22
South Canterbury,3159,3021,1158,1911,3428,2022-02-22
Southern,22004,21334,9011,14352,23646,2022-02-22
Overseas / Unknown,340,318,96,204,2653,2022-02-22
New Zealand,518191,496668,185703,325714,571052,2022-02-22
