DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43769,41798,18807,33166,50488,2022-04-06
Waitemata,37942,37005,17328,29962,41113,2022-04-06
Auckland,26543,25918,13401,21721,27792,2022-04-06
Counties Manukau,57320,55395,23131,43773,63493,2022-04-06
Waikato,63653,61286,25762,48572,69707,2022-04-06
Lakes,27117,26064,11434,20460,30085,2022-04-06
Bay of Plenty,41973,40205,17147,31726,47734,2022-04-06
Tairawhiti,17997,17288,8189,13717,19839,2022-04-06
Taranaki,14519,14033,5813,10815,15904,2022-04-06
Hawkes Bay,31026,29828,13093,23107,34059,2022-04-06
MidCentral,22964,22234,10226,17446,24225,2022-04-06
Whanganui,11830,11427,5377,9059,13512,2022-04-06
Capital and Coast,25839,25347,14130,21112,26967,2022-04-06
Hutt Valley,18002,17515,8691,14084,19123,2022-04-06
Wairarapa,5934,5724,2569,4524,6302,2022-04-06
Nelson Marlborough,10260,9931,4612,7769,11248,2022-04-06
West Coast,2496,2426,1174,1923,2765,2022-04-06
Canterbury,35530,34734,17229,27666,36969,2022-04-06
South Canterbury,3172,3078,1392,2352,3428,2022-04-06
Southern,22333,21778,10820,17505,23646,2022-04-06
Overseas / Unknown,329,312,122,238,2653,2022-04-06
New Zealand,520548,503326,230447,400697,571052,2022-04-06
