DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43580,41123,14245,26489,50488,2022-02-19
Waitemata,37783,36620,13963,25500,41113,2022-02-19
Auckland,26298,25504,10735,18688,27792,2022-02-19
Counties Manukau,57149,54743,18253,35761,63493,2022-02-19
Waikato,63341,60394,20012,38819,69707,2022-02-19
Lakes,26944,25567,8686,15705,30085,2022-02-19
Bay of Plenty,41757,39552,13096,24170,47734,2022-02-19
Tairawhiti,17919,17045,6243,10735,19839,2022-02-19
Taranaki,14403,13742,4287,8371,15904,2022-02-19
Hawkes Bay,30900,29333,10032,17701,34059,2022-02-19
MidCentral,22846,21863,7888,13522,24225,2022-02-19
Whanganui,11784,11249,4263,7115,13512,2022-02-19
Capital and Coast,25740,25049,11005,17484,26967,2022-02-19
Hutt Valley,17928,17257,6812,11190,19123,2022-02-19
Wairarapa,5891,5622,2042,3448,6302,2022-02-19
Nelson Marlborough,10214,9801,3894,6084,11248,2022-02-19
West Coast,2496,2396,931,1564,2765,2022-02-19
Canterbury,35213,34115,12924,21637,36969,2022-02-19
South Canterbury,3153,3019,1124,1887,3428,2022-02-19
Southern,21992,21306,8748,14172,23646,2022-02-19
Overseas / Unknown,327,307,84,193,2653,2022-02-19
New Zealand,517658,495607,179267,320235,571052,2022-02-19
