DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43660,41280,15026,27033,50488,2022-02-23
Waitemata,37821,36686,14606,26024,41113,2022-02-23
Auckland,26345,25579,11300,19006,27792,2022-02-23
Counties Manukau,57200,54870,19045,36751,63493,2022-02-23
Waikato,63455,60579,21014,39665,69707,2022-02-23
Lakes,27012,25691,9133,16153,30085,2022-02-23
Bay of Plenty,41822,39670,13789,24840,47734,2022-02-23
Tairawhiti,17951,17109,6592,11015,19839,2022-02-23
Taranaki,14416,13778,4492,8552,15904,2022-02-23
Hawkes Bay,30970,29501,10629,18192,34059,2022-02-23
MidCentral,22866,21918,8264,13846,24225,2022-02-23
Whanganui,11803,11281,4466,7274,13512,2022-02-23
Capital and Coast,25779,25116,11678,17873,26967,2022-02-23
Hutt Valley,17939,17328,7156,11489,19123,2022-02-23
Wairarapa,5896,5632,2127,3517,6302,2022-02-23
Nelson Marlborough,10231,9826,4016,6217,11248,2022-02-23
West Coast,2496,2404,959,1596,2765,2022-02-23
Canterbury,35273,34221,13796,22382,36969,2022-02-23
South Canterbury,3160,3024,1171,1921,3428,2022-02-23
Southern,22012,21344,9133,14477,23646,2022-02-23
Overseas / Unknown,345,322,98,212,2653,2022-02-23
New Zealand,518452,497159,188490,328035,571052,2022-02-23
