DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43781,41813,18987,33851,50488,2022-04-19
Waitemata,37951,37033,17517,30209,41113,2022-04-19
Auckland,26580,25967,13550,22001,27792,2022-04-19
Counties Manukau,57309,55393,23373,44514,63493,2022-04-19
Waikato,63688,61340,26035,49541,69707,2022-04-19
Lakes,27141,26099,11543,20965,30085,2022-04-19
Bay of Plenty,41986,40235,17249,32376,47734,2022-04-19
Tairawhiti,18019,17332,8273,14062,19839,2022-04-19
Taranaki,14520,14036,5854,11109,15904,2022-04-19
Hawkes Bay,31034,29846,13178,23720,34059,2022-04-19
MidCentral,22992,22262,10308,17822,24225,2022-04-19
Whanganui,11843,11435,5415,9272,13512,2022-04-19
Capital and Coast,25836,25354,14198,21341,26967,2022-04-19
Hutt Valley,18016,17526,8748,14379,19123,2022-04-19
Wairarapa,5951,5743,2603,4622,6302,2022-04-19
Nelson Marlborough,10262,9935,4647,7940,11248,2022-04-19
West Coast,2499,2429,1188,1966,2765,2022-04-19
Canterbury,35536,34754,17394,28174,36969,2022-04-19
South Canterbury,3178,3085,1405,2411,3428,2022-04-19
Southern,22380,21827,10903,17793,23646,2022-04-19
Overseas / Unknown,319,304,120,240,2653,2022-04-19
New Zealand,520821,503748,232488,408308,571052,2022-04-19
