DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43783,41819,19013,33998,50488,2022-04-21
Waitemata,37941,37024,17543,30264,41113,2022-04-21
Auckland,26583,25968,13550,22038,27792,2022-04-21
Counties Manukau,57313,55404,23414,44642,63493,2022-04-21
Waikato,63694,61349,26060,49709,69707,2022-04-21
Lakes,27145,26106,11558,21037,30085,2022-04-21
Bay of Plenty,42008,40262,17266,32516,47734,2022-04-21
Tairawhiti,18021,17333,8281,14112,19839,2022-04-21
Taranaki,14527,14044,5862,11141,15904,2022-04-21
Hawkes Bay,31027,29843,13197,23811,34059,2022-04-21
MidCentral,23007,22279,10321,17904,24225,2022-04-21
Whanganui,11842,11437,5420,9317,13512,2022-04-21
Capital and Coast,25839,25359,14215,21375,26967,2022-04-21
Hutt Valley,18018,17533,8750,14421,19123,2022-04-21
Wairarapa,5946,5738,2600,4639,6302,2022-04-21
Nelson Marlborough,10261,9933,4652,7973,11248,2022-04-21
West Coast,2502,2432,1191,1974,2765,2022-04-21
Canterbury,35534,34752,17405,28259,36969,2022-04-21
South Canterbury,3178,3086,1405,2424,3428,2022-04-21
Southern,22377,21823,10912,17839,23646,2022-04-21
Overseas / Unknown,321,305,122,241,2653,2022-04-21
New Zealand,520867,503829,232737,409634,571052,2022-04-21
