DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43736,41728,18416,32166,50488,2022-03-22
Waitemata,37920,36967,17068,29378,41113,2022-03-22
Auckland,26463,25805,13130,21215,27792,2022-03-22
Counties Manukau,57356,55344,22775,42738,63493,2022-03-22
Waikato,63638,61171,25219,46992,69707,2022-03-22
Lakes,27104,26035,11215,19644,30085,2022-03-22
Bay of Plenty,41907,40083,16871,30277,47734,2022-03-22
Tairawhiti,17991,17250,8106,13225,19839,2022-03-22
Taranaki,14486,13982,5661,10368,15904,2022-03-22
Hawkes Bay,31049,29792,12909,22162,34059,2022-03-22
MidCentral,22948,22185,10059,16674,24225,2022-03-22
Whanganui,11838,11417,5302,8692,13512,2022-03-22
Capital and Coast,25829,25310,13930,20492,26967,2022-03-22
Hutt Valley,17980,17475,8529,13591,19123,2022-03-22
Wairarapa,5911,5696,2508,4334,6302,2022-03-22
Nelson Marlborough,10256,9914,4539,7406,11248,2022-03-22
West Coast,2490,2415,1153,1859,2765,2022-03-22
Canterbury,35485,34647,16883,26669,36969,2022-03-22
South Canterbury,3171,3074,1378,2272,3428,2022-03-22
Southern,22191,21604,10580,16831,23646,2022-03-22
Overseas / Unknown,333,316,129,235,2653,2022-03-22
New Zealand,520082,502210,226360,387220,571052,2022-03-22
