DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43762,41787,18736,33101,50488,2022-04-02
Waitemata,37934,36979,17289,29893,41113,2022-04-02
Auckland,26537,25894,13342,21657,27792,2022-04-02
Counties Manukau,57313,55350,23073,43679,63493,2022-04-02
Waikato,63660,61263,25662,48472,69707,2022-04-02
Lakes,27102,26035,11394,20363,30085,2022-04-02
Bay of Plenty,41961,40178,17093,31598,47734,2022-04-02
Tairawhiti,17997,17276,8176,13677,19839,2022-04-02
Taranaki,14516,14027,5794,10782,15904,2022-04-02
Hawkes Bay,31040,29828,13059,23047,34059,2022-04-02
MidCentral,22949,22210,10199,17376,24225,2022-04-02
Whanganui,11834,11427,5363,9035,13512,2022-04-02
Capital and Coast,25829,25327,14084,21050,26967,2022-04-02
Hutt Valley,18003,17511,8663,14065,19123,2022-04-02
Wairarapa,5921,5710,2557,4498,6302,2022-04-02
Nelson Marlborough,10254,9919,4598,7735,11248,2022-04-02
West Coast,2500,2429,1167,1922,2765,2022-04-02
Canterbury,35505,34690,17156,27558,36969,2022-04-02
South Canterbury,3171,3075,1394,2348,3428,2022-04-02
Southern,22288,21719,10754,17421,23646,2022-04-02
Overseas / Unknown,330,312,125,236,2653,2022-04-02
New Zealand,520406,502946,229678,399513,571052,2022-04-02
