DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43856,41696,17698,30316,50488,2022-03-10
Waitemata,37960,36953,16562,28186,41113,2022-03-10
Auckland,26427,25739,12704,20413,27792,2022-03-10
Counties Manukau,57418,55277,21890,40375,63493,2022-03-10
Waikato,63732,61114,24346,44301,69707,2022-03-10
Lakes,27146,25986,10734,18372,30085,2022-03-10
Bay of Plenty,42004,40062,16262,28049,47734,2022-03-10
Tairawhiti,18044,17272,7809,12385,19839,2022-03-10
Taranaki,14499,13952,5369,9748,15904,2022-03-10
Hawkes Bay,31093,29766,12424,20704,34059,2022-03-10
MidCentral,22978,22136,9699,15496,24225,2022-03-10
Whanganui,11866,11405,5115,8133,13512,2022-03-10
Capital and Coast,25852,25281,13501,19558,26967,2022-03-10
Hutt Valley,17989,17448,8242,12769,19123,2022-03-10
Wairarapa,5910,5674,2412,4050,6302,2022-03-10
Nelson Marlborough,10282,9910,4390,6964,11248,2022-03-10
West Coast,2502,2421,1096,1784,2765,2022-03-10
Canterbury,35455,34534,16221,25388,36969,2022-03-10
South Canterbury,3168,3065,1340,2155,3428,2022-03-10
Southern,22179,21546,10239,16042,23646,2022-03-10
Overseas / Unknown,347,332,120,233,2653,2022-03-10
New Zealand,520707,501569,218173,365421,571052,2022-03-10
