DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43885,41758,17930,30928,50488,2022-03-14
Waitemata,37991,37004,16743,28651,41113,2022-03-14
Auckland,26443,25767,12855,20683,27792,2022-03-14
Counties Manukau,57462,55342,22313,41224,63493,2022-03-14
Waikato,63773,61189,24705,45266,69707,2022-03-14
Lakes,27167,26038,10946,18811,30085,2022-03-14
Bay of Plenty,42026,40115,16591,28822,47734,2022-03-14
Tairawhiti,18045,17282,7938,12675,19839,2022-03-14
Taranaki,14500,13963,5463,9987,15904,2022-03-14
Hawkes Bay,31120,29804,12595,21237,34059,2022-03-14
MidCentral,22986,22160,9827,15948,24225,2022-03-14
Whanganui,11873,11427,5195,8359,13512,2022-03-14
Capital and Coast,25859,25309,13669,19851,26967,2022-03-14
Hutt Valley,17994,17468,8363,13063,19123,2022-03-14
Wairarapa,5914,5684,2441,4168,6302,2022-03-14
Nelson Marlborough,10291,9927,4446,7115,11248,2022-03-14
West Coast,2505,2424,1116,1812,2765,2022-03-14
Canterbury,35478,34585,16461,25830,36969,2022-03-14
South Canterbury,3173,3071,1360,2192,3428,2022-03-14
Southern,22199,21567,10376,16279,23646,2022-03-14
Overseas / Unknown,346,331,119,236,2653,2022-03-14
New Zealand,521030,502215,221452,373137,571052,2022-03-14
