DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43732,41692,18291,31695,50488,2022-03-19
Waitemata,37921,36965,16991,29053,41113,2022-03-19
Auckland,26444,25779,13053,21004,27792,2022-03-19
Counties Manukau,57337,55316,22681,41987,63493,2022-03-19
Waikato,63621,61150,25093,46302,69707,2022-03-19
Lakes,27103,26023,11133,19300,30085,2022-03-19
Bay of Plenty,41897,40058,16790,29720,47734,2022-03-19
Tairawhiti,17984,17234,8045,12929,19839,2022-03-19
Taranaki,14479,13965,5584,10205,15904,2022-03-19
Hawkes Bay,31033,29771,12816,21705,34059,2022-03-19
MidCentral,22939,22160,10000,16405,24225,2022-03-19
Whanganui,11837,11408,5280,8567,13512,2022-03-19
Capital and Coast,25815,25296,13873,20212,26967,2022-03-19
Hutt Valley,17977,17466,8502,13368,19123,2022-03-19
Wairarapa,5905,5684,2489,4252,6302,2022-03-19
Nelson Marlborough,10255,9908,4514,7268,11248,2022-03-19
West Coast,2490,2415,1144,1842,2765,2022-03-19
Canterbury,35454,34604,16775,26331,36969,2022-03-19
South Canterbury,3169,3071,1369,2237,3428,2022-03-19
Southern,22185,21598,10541,16611,23646,2022-03-19
Overseas / Unknown,332,315,122,228,2653,2022-03-19
New Zealand,519909,501878,225086,381221,571052,2022-03-19
