DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43779,41540,16661,28553,50488,2022-03-03
Waitemata,37889,36844,16033,27089,41113,2022-03-03
Auckland,26379,25663,12303,19666,27792,2022-03-03
Counties Manukau,57332,55108,20906,38698,63493,2022-03-03
Waikato,63645,60910,23349,41834,69707,2022-03-03
Lakes,27077,25853,10210,17085,30085,2022-03-03
Bay of Plenty,41948,39909,15442,26361,47734,2022-03-03
Tairawhiti,18013,17218,7352,11618,19839,2022-03-03
Taranaki,14473,13886,5087,9124,15904,2022-03-03
Hawkes Bay,31017,29645,11661,19341,34059,2022-03-03
MidCentral,22934,22060,9234,14617,24225,2022-03-03
Whanganui,11851,11358,4897,7676,13512,2022-03-03
Capital and Coast,25814,25212,12962,18603,26967,2022-03-03
Hutt Valley,17968,17404,7874,12027,19123,2022-03-03
Wairarapa,5896,5646,2301,3714,6302,2022-03-03
Nelson Marlborough,10270,9884,4283,6534,11248,2022-03-03
West Coast,2499,2416,1041,1689,2765,2022-03-03
Canterbury,35388,34407,15425,23811,36969,2022-03-03
South Canterbury,3161,3048,1281,2019,3428,2022-03-03
Southern,22109,21476,9910,15227,23646,2022-03-03
Overseas / Unknown,352,332,113,221,2653,2022-03-03
New Zealand,519794,499819,208325,345507,571052,2022-03-03
