DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43580,41122,14263,26617,50488,2022-02-20
Waitemata,37792,36629,14061,25682,41113,2022-02-20
Auckland,26295,25505,10822,18788,27792,2022-02-20
Counties Manukau,57153,54763,18381,36139,63493,2022-02-20
Waikato,63346,60405,20075,39051,69707,2022-02-20
Lakes,26952,25593,8825,15790,30085,2022-02-20
Bay of Plenty,41761,39563,13185,24376,47734,2022-02-20
Tairawhiti,17921,17050,6293,10817,19839,2022-02-20
Taranaki,14404,13745,4300,8418,15904,2022-02-20
Hawkes Bay,30912,29363,10161,17838,34059,2022-02-20
MidCentral,22851,21873,7915,13639,24225,2022-02-20
Whanganui,11786,11253,4301,7167,13512,2022-02-20
Capital and Coast,25738,25049,11065,17619,26967,2022-02-20
Hutt Valley,17930,17266,6870,11274,19123,2022-02-20
Wairarapa,5892,5624,2051,3484,6302,2022-02-20
Nelson Marlborough,10218,9806,3908,6138,11248,2022-02-20
West Coast,2496,2396,931,1573,2765,2022-02-20
Canterbury,35218,34124,13011,21922,36969,2022-02-20
South Canterbury,3153,3019,1130,1901,3428,2022-02-20
Southern,21993,21311,8797,14247,23646,2022-02-20
Overseas / Unknown,327,307,84,194,2653,2022-02-20
New Zealand,517718,495766,180429,322674,571052,2022-02-20
