DHB,Dose1,Dose2,Population,Date
Northland,43451,40890,50488,2022-02-14
Waitemata,37736,36510,41113,2022-02-14
Auckland,26266,25418,27792,2022-02-14
Counties Manukau,57056,54479,63493,2022-02-14
Waikato,63150,60069,69707,2022-02-14
Lakes,26882,25437,30085,2022-02-14
Bay of Plenty,41628,39302,47734,2022-02-14
Tairawhiti,17889,16982,19839,2022-02-14
Taranaki,14359,13657,15904,2022-02-14
Hawkes Bay,30801,29177,34059,2022-02-14
MidCentral,22773,21706,24225,2022-02-14
Whanganui,11724,11159,13512,2022-02-14
Capital and Coast,25700,24965,26967,2022-02-14
Hutt Valley,17890,17162,19123,2022-02-14
Wairarapa,5888,5609,6302,2022-02-14
Nelson Marlborough,10203,9754,11248,2022-02-14
West Coast,2493,2374,2765,2022-02-14
Canterbury,35137,33922,36969,2022-02-14
South Canterbury,3137,2996,3428,2022-02-14
Southern,21958,21204,23646,2022-02-14
Overseas / Unknown,322,301,2653,2022-02-14
New Zealand,516443,493073,571052,2022-02-14
All DHBs to 90%,NA,NA,NA,2022-02-14
