DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43600,41159,14493,26653,50488,2022-02-21
Waitemata,37810,36643,14263,25760,41113,2022-02-21
Auckland,26315,25534,10989,18834,27792,2022-02-21
Counties Manukau,57178,54797,18597,36333,63493,2022-02-21
Waikato,63391,60460,20377,39180,69707,2022-02-21
Lakes,26967,25618,8958,15927,30085,2022-02-21
Bay of Plenty,41759,39580,13359,24475,47734,2022-02-21
Tairawhiti,17929,17067,6368,10871,19839,2022-02-21
Taranaki,14400,13745,4358,8450,15904,2022-02-21
Hawkes Bay,30932,29402,10307,17995,34059,2022-02-21
MidCentral,22849,21882,8013,13673,24225,2022-02-21
Whanganui,11796,11268,4352,7181,13512,2022-02-21
Capital and Coast,25754,25072,11273,17654,26967,2022-02-21
Hutt Valley,17930,17276,6960,11375,19123,2022-02-21
Wairarapa,5894,5629,2074,3488,6302,2022-02-21
Nelson Marlborough,10217,9806,3946,6143,11248,2022-02-21
West Coast,2495,2396,936,1574,2765,2022-02-21
Canterbury,35227,34150,13253,22006,36969,2022-02-21
South Canterbury,3158,3019,1140,1903,3428,2022-02-21
Southern,21994,21317,8878,14264,23646,2022-02-21
Overseas / Unknown,335,315,92,201,2653,2022-02-21
New Zealand,517930,496135,182986,323940,571052,2022-02-21
