DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43780,41806,18893,33451,50488,2022-04-10
Waitemata,37941,37015,17412,30125,41113,2022-04-10
Auckland,26547,25925,13472,21864,27792,2022-04-10
Counties Manukau,57328,55408,23256,44114,63493,2022-04-10
Waikato,63672,61312,25918,49079,69707,2022-04-10
Lakes,27120,26068,11480,20707,30085,2022-04-10
Bay of Plenty,41972,40209,17182,32083,47734,2022-04-10
Tairawhiti,18004,17311,8220,13873,19839,2022-04-10
Taranaki,14520,14032,5840,11016,15904,2022-04-10
Hawkes Bay,31027,29832,13127,23366,34059,2022-04-10
MidCentral,22975,22244,10257,17599,24225,2022-04-10
Whanganui,11836,11431,5390,9175,13512,2022-04-10
Capital and Coast,25834,25349,14185,21252,26967,2022-04-10
Hutt Valley,18016,17531,8719,14257,19123,2022-04-10
Wairarapa,5941,5731,2582,4570,6302,2022-04-10
Nelson Marlborough,10261,9931,4624,7879,11248,2022-04-10
West Coast,2498,2428,1185,1954,2765,2022-04-10
Canterbury,35529,34737,17302,27900,36969,2022-04-10
South Canterbury,3173,3080,1397,2376,3428,2022-04-10
Southern,22354,21802,10868,17673,23646,2022-04-10
Overseas / Unknown,319,303,121,237,2653,2022-04-10
New Zealand,520647,503485,231430,404550,571052,2022-04-10
