DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43561,41102,13959,26052,50488,2022-02-18
Waitemata,37774,36597,13626,25148,41113,2022-02-18
Auckland,26292,25499,10522,18492,27792,2022-02-18
Counties Manukau,57137,54685,17742,35199,63493,2022-02-18
Waikato,63310,60352,19570,38079,69707,2022-02-18
Lakes,26930,25544,8517,15438,30085,2022-02-18
Bay of Plenty,41742,39508,12811,23668,47734,2022-02-18
Tairawhiti,17909,17028,6101,10571,19839,2022-02-18
Taranaki,14398,13723,4201,8165,15904,2022-02-18
Hawkes Bay,30872,29296,9749,17453,34059,2022-02-18
MidCentral,22839,21836,7678,13249,24225,2022-02-18
Whanganui,11774,11234,4175,6988,13512,2022-02-18
Capital and Coast,25735,25032,10677,17253,26967,2022-02-18
Hutt Valley,17920,17242,6630,11019,19123,2022-02-18
Wairarapa,5889,5620,2004,3388,6302,2022-02-18
Nelson Marlborough,10210,9788,3782,6007,11248,2022-02-18
West Coast,2496,2391,905,1536,2765,2022-02-18
Canterbury,35201,34085,12501,21175,36969,2022-02-18
South Canterbury,3153,3018,1109,1850,3428,2022-02-18
Southern,21981,21285,8567,13970,23646,2022-02-18
Overseas / Unknown,327,307,83,191,2653,2022-02-18
New Zealand,517450,495172,174909,314891,571052,2022-02-18
