DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43802,41596,17111,28902,50488,2022-03-05
Waitemata,37917,36878,16232,27277,41113,2022-03-05
Auckland,26392,25686,12471,19784,27792,2022-03-05
Counties Manukau,57356,55166,21368,38919,63493,2022-03-05
Waikato,63669,60956,23740,42340,69707,2022-03-05
Lakes,27105,25879,10371,17270,30085,2022-03-05
Bay of Plenty,41959,39951,15751,26668,47734,2022-03-05
Tairawhiti,18009,17218,7493,11700,19839,2022-03-05
Taranaki,14475,13898,5189,9191,15904,2022-03-05
Hawkes Bay,31048,29674,11978,19576,34059,2022-03-05
MidCentral,22948,22085,9405,14801,24225,2022-03-05
Whanganui,11851,11371,4969,7785,13512,2022-03-05
Capital and Coast,25827,25239,13171,18826,26967,2022-03-05
Hutt Valley,17965,17411,7983,12174,19123,2022-03-05
Wairarapa,5898,5651,2347,3745,6302,2022-03-05
Nelson Marlborough,10272,9897,4328,6620,11248,2022-03-05
West Coast,2500,2417,1069,1701,2765,2022-03-05
Canterbury,35414,34463,15765,24168,36969,2022-03-05
South Canterbury,3167,3052,1300,2045,3428,2022-03-05
Southern,22130,21504,10037,15432,23646,2022-03-05
Overseas / Unknown,347,329,114,220,2653,2022-03-05
New Zealand,520051,500321,212192,349144,571052,2022-03-05
