DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43767,41795,18844,33261,50488,2022-04-07
Waitemata,37943,37010,17342,30017,41113,2022-04-07
Auckland,26538,25919,13428,21752,27792,2022-04-07
Counties Manukau,57323,55399,23153,43879,63493,2022-04-07
Waikato,63666,61299,25795,48707,69707,2022-04-07
Lakes,27119,26068,11449,20527,30085,2022-04-07
Bay of Plenty,41965,40203,17154,31834,47734,2022-04-07
Tairawhiti,18000,17298,8197,13767,19839,2022-04-07
Taranaki,14519,14032,5824,10870,15904,2022-04-07
Hawkes Bay,31025,29826,13101,23156,34059,2022-04-07
MidCentral,22966,22233,10233,17495,24225,2022-04-07
Whanganui,11837,11432,5388,9094,13512,2022-04-07
Capital and Coast,25838,25347,14139,21153,26967,2022-04-07
Hutt Valley,18013,17527,8700,14158,19123,2022-04-07
Wairarapa,5938,5728,2577,4537,6302,2022-04-07
Nelson Marlborough,10262,9932,4619,7806,11248,2022-04-07
West Coast,2497,2427,1179,1934,2765,2022-04-07
Canterbury,35532,34738,17253,27734,36969,2022-04-07
South Canterbury,3173,3079,1394,2363,3428,2022-04-07
Southern,22348,21795,10856,17561,23646,2022-04-07
Overseas / Unknown,324,308,124,240,2653,2022-04-07
New Zealand,520593,503395,230749,401845,571052,2022-04-07
