DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43781,41809,18975,33774,50488,2022-04-18
Waitemata,37950,37029,17510,30185,41113,2022-04-18
Auckland,26576,25965,13543,21979,27792,2022-04-18
Counties Manukau,57305,55388,23357,44434,63493,2022-04-18
Waikato,63684,61337,26022,49467,69707,2022-04-18
Lakes,27141,26098,11538,20923,30085,2022-04-18
Bay of Plenty,41983,40232,17234,32321,47734,2022-04-18
Tairawhiti,18019,17332,8270,14017,19839,2022-04-18
Taranaki,14519,14035,5853,11098,15904,2022-04-18
Hawkes Bay,31033,29845,13169,23681,34059,2022-04-18
MidCentral,22991,22262,10304,17792,24225,2022-04-18
Whanganui,11842,11435,5414,9266,13512,2022-04-18
Capital and Coast,25834,25352,14192,21321,26967,2022-04-18
Hutt Valley,18013,17525,8746,14359,19123,2022-04-18
Wairarapa,5951,5743,2602,4614,6302,2022-04-18
Nelson Marlborough,10262,9934,4644,7927,11248,2022-04-18
West Coast,2499,2429,1188,1965,2765,2022-04-18
Canterbury,35535,34753,17382,28136,36969,2022-04-18
South Canterbury,3177,3085,1403,2407,3428,2022-04-18
Southern,22379,21826,10901,17763,23646,2022-04-18
Overseas / Unknown,319,304,120,240,2653,2022-04-18
New Zealand,520793,503718,232367,407669,571052,2022-04-18
