DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43733,41739,18505,32526,50488,2022-03-24
Waitemata,37912,36957,17113,29555,41113,2022-03-24
Auckland,26476,25831,13187,21339,27792,2022-03-24
Counties Manukau,57345,55346,22859,43053,63493,2022-03-24
Waikato,63637,61196,25334,47446,69707,2022-03-24
Lakes,27113,26050,11263,19879,30085,2022-03-24
Bay of Plenty,41920,40100,16937,30685,47734,2022-03-24
Tairawhiti,17987,17255,8126,13361,19839,2022-03-24
Taranaki,14501,14000,5699,10505,15904,2022-03-24
Hawkes Bay,31040,29797,12938,22449,34059,2022-03-24
MidCentral,22953,22201,10100,16878,24225,2022-03-24
Whanganui,11843,11426,5330,8802,13512,2022-03-24
Capital and Coast,25844,25335,13977,20678,26967,2022-03-24
Hutt Valley,17992,17489,8569,13768,19123,2022-03-24
Wairarapa,5914,5699,2519,4384,6302,2022-03-24
Nelson Marlborough,10254,9914,4548,7511,11248,2022-03-24
West Coast,2492,2420,1156,1879,2765,2022-03-24
Canterbury,35491,34660,16972,26939,36969,2022-03-24
South Canterbury,3166,3071,1380,2298,3428,2022-03-24
Southern,22207,21622,10634,16983,23646,2022-03-24
Overseas / Unknown,338,321,130,242,2653,2022-03-24
New Zealand,520158,502429,227276,391160,571052,2022-03-24
