DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43783,41835,19095,34390,50488,2022-05-01
Waitemata,37954,37035,17631,30484,41113,2022-05-01
Auckland,26581,25969,13633,22215,27792,2022-05-01
Counties Manukau,57290,55393,23573,45093,63493,2022-05-01
Waikato,63727,61408,26150,50376,69707,2022-05-01
Lakes,27153,26114,11604,21345,30085,2022-05-01
Bay of Plenty,42023,40280,17336,32992,47734,2022-05-01
Tairawhiti,18013,17326,8360,14295,19839,2022-05-01
Taranaki,14522,14038,5889,11300,15904,2022-05-01
Hawkes Bay,31031,29844,13263,24162,34059,2022-05-01
MidCentral,23021,22296,10394,18152,24225,2022-05-01
Whanganui,11837,11431,5435,9428,13512,2022-05-01
Capital and Coast,25845,25370,14269,21552,26967,2022-05-01
Hutt Valley,18024,17541,8780,14584,19123,2022-05-01
Wairarapa,5944,5735,2610,4677,6302,2022-05-01
Nelson Marlborough,10269,9945,4675,8091,11248,2022-05-01
West Coast,2508,2438,1198,2005,2765,2022-05-01
Canterbury,35605,34824,17494,28633,36969,2022-05-01
South Canterbury,3177,3087,1410,2465,3428,2022-05-01
Southern,22393,21839,10962,18024,23646,2022-05-01
Overseas / Unknown,319,299,120,247,2653,2022-05-01
New Zealand,521019,504047,233881,414510,571052,2022-05-01
