DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43726,41679,18214,31695,50488,2022-03-18
Waitemata,37914,36955,16940,29054,41113,2022-03-18
Auckland,26442,25774,13007,21004,27792,2022-03-18
Counties Manukau,57319,55291,22535,41988,63493,2022-03-18
Waikato,63611,61131,25056,46300,69707,2022-03-18
Lakes,27101,26010,11106,19300,30085,2022-03-18
Bay of Plenty,41894,40052,16746,29719,47734,2022-03-18
Tairawhiti,17983,17233,8030,12932,19839,2022-03-18
Taranaki,14478,13964,5572,10206,15904,2022-03-18
Hawkes Bay,31028,29758,12788,21703,34059,2022-03-18
MidCentral,22933,22153,9983,16403,24225,2022-03-18
Whanganui,11835,11407,5272,8567,13512,2022-03-18
Capital and Coast,25813,25291,13851,20213,26967,2022-03-18
Hutt Valley,17971,17462,8478,13367,19123,2022-03-18
Wairarapa,5904,5683,2480,4252,6302,2022-03-18
Nelson Marlborough,10253,9905,4501,7268,11248,2022-03-18
West Coast,2490,2414,1130,1842,2765,2022-03-18
Canterbury,35453,34593,16720,26332,36969,2022-03-18
South Canterbury,3169,3071,1368,2237,3428,2022-03-18
Southern,22182,21593,10523,16612,23646,2022-03-18
Overseas / Unknown,333,316,121,229,2653,2022-03-18
New Zealand,519832,501735,224421,381223,571052,2022-03-18
