DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43708,41659,18167,31493,50488,2022-03-17
Waitemata,37927,36962,16903,28950,41113,2022-03-17
Auckland,26421,25760,12972,20931,27792,2022-03-17
Counties Manukau,57315,55274,22479,41835,63493,2022-03-17
Waikato,63587,61098,24959,45967,69707,2022-03-17
Lakes,27104,26015,11075,19187,30085,2022-03-17
Bay of Plenty,41887,40023,16701,29421,47734,2022-03-17
Tairawhiti,17983,17230,8005,12862,19839,2022-03-17
Taranaki,14476,13957,5545,10142,15904,2022-03-17
Hawkes Bay,31019,29744,12747,21559,34059,2022-03-17
MidCentral,22926,22142,9958,16250,24225,2022-03-17
Whanganui,11829,11400,5249,8508,13512,2022-03-17
Capital and Coast,25809,25279,13818,20113,26967,2022-03-17
Hutt Valley,17971,17461,8460,13273,19123,2022-03-17
Wairarapa,5904,5682,2472,4232,6302,2022-03-17
Nelson Marlborough,10256,9905,4486,7230,11248,2022-03-17
West Coast,2491,2415,1124,1834,2765,2022-03-17
Canterbury,35435,34571,16657,26194,36969,2022-03-17
South Canterbury,3169,3070,1364,2229,3428,2022-03-17
Southern,22180,21577,10497,16518,23646,2022-03-17
Overseas / Unknown,336,320,120,229,2653,2022-03-17
New Zealand,519733,501544,223758,378957,571052,2022-03-17
