DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43770,41799,18786,33138,50488,2022-04-05
Waitemata,37931,36993,17314,29945,41113,2022-04-05
Auckland,26531,25905,13381,21695,27792,2022-04-05
Counties Manukau,57325,55394,23112,43754,63493,2022-04-05
Waikato,63659,61286,25741,48530,69707,2022-04-05
Lakes,27107,26052,11422,20425,30085,2022-04-05
Bay of Plenty,41970,40200,17128,31678,47734,2022-04-05
Tairawhiti,18006,17296,8189,13709,19839,2022-04-05
Taranaki,14518,14032,5807,10802,15904,2022-04-05
Hawkes Bay,31036,29835,13083,23096,34059,2022-04-05
MidCentral,22957,22225,10213,17411,24225,2022-04-05
Whanganui,11833,11431,5372,9045,13512,2022-04-05
Capital and Coast,25833,25340,14114,21083,26967,2022-04-05
Hutt Valley,17996,17507,8676,14073,19123,2022-04-05
Wairarapa,5921,5710,2562,4508,6302,2022-04-05
Nelson Marlborough,10253,9924,4603,7752,11248,2022-04-05
West Coast,2495,2425,1168,1921,2765,2022-04-05
Canterbury,35517,34718,17206,27635,36969,2022-04-05
South Canterbury,3173,3078,1395,2352,3428,2022-04-05
Southern,22321,21762,10798,17472,23646,2022-04-05
Overseas / Unknown,330,313,124,237,2653,2022-04-05
New Zealand,520482,503225,230194,400261,571052,2022-04-05
