DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43798,41593,17129,29459,50488,2022-03-06
Waitemata,37930,36897,16285,27694,41113,2022-03-06
Auckland,26393,25693,12504,20044,27792,2022-03-06
Counties Manukau,57362,55175,21433,39654,63493,2022-03-06
Waikato,63671,60967,23777,43222,69707,2022-03-06
Lakes,27108,25891,10449,17576,30085,2022-03-06
Bay of Plenty,41969,39965,15845,27199,47734,2022-03-06
Tairawhiti,18012,17225,7582,11904,19839,2022-03-06
Taranaki,14481,13904,5207,9443,15904,2022-03-06
Hawkes Bay,31054,29696,12115,20034,34059,2022-03-06
MidCentral,22945,22085,9430,15096,24225,2022-03-06
Whanganui,11855,11375,4975,7913,13512,2022-03-06
Capital and Coast,25825,25236,13198,19148,26967,2022-03-06
Hutt Valley,17968,17418,8031,12454,19123,2022-03-06
Wairarapa,5899,5654,2351,3859,6302,2022-03-06
Nelson Marlborough,10271,9898,4336,6797,11248,2022-03-06
West Coast,2499,2416,1068,1743,2765,2022-03-06
Canterbury,35419,34468,15810,24756,36969,2022-03-06
South Canterbury,3165,3050,1299,2085,3428,2022-03-06
Southern,22132,21508,10053,15724,23646,2022-03-06
Overseas / Unknown,345,327,115,222,2653,2022-03-06
New Zealand,520101,500441,212992,356026,571052,2022-03-06
