DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43759,41457,16195,27924,50488,2022-03-01
Waitemata,37872,36812,15765,26759,41113,2022-03-01
Auckland,26366,25632,12117,19471,27792,2022-03-01
Counties Manukau,57288,55038,20563,38135,63493,2022-03-01
Waikato,63586,60795,22772,41150,69707,2022-03-01
Lakes,27060,25809,10044,16765,30085,2022-03-01
Bay of Plenty,41923,39867,15134,25825,47734,2022-03-01
Tairawhiti,18004,17192,7167,11421,19839,2022-03-01
Taranaki,14462,13857,4948,8944,15904,2022-03-01
Hawkes Bay,31014,29620,11408,18989,34059,2022-03-01
MidCentral,22911,22003,8992,14353,24225,2022-03-01
Whanganui,11835,11335,4755,7511,13512,2022-03-01
Capital and Coast,25804,25190,12692,18316,26967,2022-03-01
Hutt Valley,17966,17389,7729,11846,19123,2022-03-01
Wairarapa,5895,5641,2263,3650,6302,2022-03-01
Nelson Marlborough,10261,9872,4215,6403,11248,2022-03-01
West Coast,2500,2410,1017,1653,2765,2022-03-01
Canterbury,35368,34359,15102,23236,36969,2022-03-01
South Canterbury,3164,3045,1262,1983,3428,2022-03-01
Southern,22070,21429,9751,14943,23646,2022-03-01
Overseas / Unknown,348,329,111,217,2653,2022-03-01
New Zealand,519456,499081,204002,339494,571052,2022-03-01
