DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43743,41754,18631,32767,50488,2022-03-29
Waitemata,37928,36976,17217,29715,41113,2022-03-29
Auckland,26531,25886,13272,21505,27792,2022-03-29
Counties Manukau,57313,55341,22954,43305,63493,2022-03-29
Waikato,63643,61221,25496,47927,69707,2022-03-29
Lakes,27109,26045,11312,20110,30085,2022-03-29
Bay of Plenty,41942,40137,17034,31079,47734,2022-03-29
Tairawhiti,17992,17262,8152,13513,19839,2022-03-29
Taranaki,14513,14017,5761,10618,15904,2022-03-29
Hawkes Bay,31054,29819,13013,22720,34059,2022-03-29
MidCentral,22950,22206,10163,17129,24225,2022-03-29
Whanganui,11842,11430,5350,8925,13512,2022-03-29
Capital and Coast,25841,25334,14048,20875,26967,2022-03-29
Hutt Valley,17994,17497,8627,13919,19123,2022-03-29
Wairarapa,5913,5700,2536,4426,6302,2022-03-29
Nelson Marlborough,10256,9921,4572,7584,11248,2022-03-29
West Coast,2493,2421,1158,1899,2765,2022-03-29
Canterbury,35515,34695,17087,27252,36969,2022-03-29
South Canterbury,3170,3075,1388,2322,3428,2022-03-29
Southern,22247,21673,10697,17194,23646,2022-03-29
Overseas / Unknown,332,315,129,237,2653,2022-03-29
New Zealand,520321,502725,228597,395021,571052,2022-03-29
