DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43751,41780,18709,33005,50488,2022-04-01
Waitemata,37926,36972,17263,29848,41113,2022-04-01
Auckland,26539,25892,13325,21627,27792,2022-04-01
Counties Manukau,57305,55337,23011,43586,63493,2022-04-01
Waikato,63659,61255,25624,48358,69707,2022-04-01
Lakes,27102,26035,11381,20311,30085,2022-04-01
Bay of Plenty,41956,40170,17071,31503,47734,2022-04-01
Tairawhiti,17997,17275,8174,13639,19839,2022-04-01
Taranaki,14513,14024,5789,10754,15904,2022-04-01
Hawkes Bay,31038,29824,13054,22995,34059,2022-04-01
MidCentral,22948,22210,10190,17327,24225,2022-04-01
Whanganui,11834,11428,5360,9008,13512,2022-04-01
Capital and Coast,25830,25326,14078,21011,26967,2022-04-01
Hutt Valley,18002,17510,8650,14041,19123,2022-04-01
Wairarapa,5921,5710,2551,4482,6302,2022-04-01
Nelson Marlborough,10254,9920,4593,7704,11248,2022-04-01
West Coast,2501,2430,1167,1923,2765,2022-04-01
Canterbury,35503,34686,17130,27481,36969,2022-04-01
South Canterbury,3171,3075,1394,2343,3428,2022-04-01
Southern,22281,21714,10747,17377,23646,2022-04-01
Overseas / Unknown,332,314,127,238,2653,2022-04-01
New Zealand,520363,502887,229388,398561,571052,2022-04-01
