DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43745,41749,18594,32767,50488,2022-03-27
Waitemata,37918,36962,17173,29684,41113,2022-03-27
Auckland,26493,25849,13239,21463,27792,2022-03-27
Counties Manukau,57322,55343,22930,43263,63493,2022-03-27
Waikato,63654,61222,25435,47872,69707,2022-03-27
Lakes,27112,26047,11298,20072,30085,2022-03-27
Bay of Plenty,41933,40123,16991,31022,47734,2022-03-27
Tairawhiti,17989,17260,8143,13503,19839,2022-03-27
Taranaki,14506,14007,5734,10601,15904,2022-03-27
Hawkes Bay,31044,29797,12987,22657,34059,2022-03-27
MidCentral,22956,22205,10143,17089,24225,2022-03-27
Whanganui,11839,11423,5336,8905,13512,2022-03-27
Capital and Coast,25847,25337,14023,20851,26967,2022-03-27
Hutt Valley,17994,17495,8603,13908,19123,2022-03-27
Wairarapa,5914,5701,2533,4426,6302,2022-03-27
Nelson Marlborough,10253,9915,4561,7573,11248,2022-03-27
West Coast,2491,2419,1156,1898,2765,2022-03-27
Canterbury,35497,34674,17034,27179,36969,2022-03-27
South Canterbury,3166,3071,1383,2321,3428,2022-03-27
Southern,22225,21648,10666,17150,23646,2022-03-27
Overseas / Unknown,340,324,131,245,2653,2022-03-27
New Zealand,520238,502571,228093,394449,571052,2022-03-27
