DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43762,41791,18757,33104,50488,2022-04-03
Waitemata,37932,36976,17295,29902,41113,2022-04-03
Auckland,26541,25897,13347,21665,27792,2022-04-03
Counties Manukau,57310,55344,23079,43685,63493,2022-04-03
Waikato,63666,61270,25700,48480,69707,2022-04-03
Lakes,27104,26038,11403,20365,30085,2022-04-03
Bay of Plenty,41959,40177,17099,31611,47734,2022-04-03
Tairawhiti,18003,17281,8184,13680,19839,2022-04-03
Taranaki,14516,14027,5796,10783,15904,2022-04-03
Hawkes Bay,31041,29832,13064,23057,34059,2022-04-03
MidCentral,22951,22213,10199,17390,24225,2022-04-03
Whanganui,11833,11428,5363,9037,13512,2022-04-03
Capital and Coast,25831,25329,14093,21054,26967,2022-04-03
Hutt Valley,17997,17505,8661,14061,19123,2022-04-03
Wairarapa,5920,5709,2559,4499,6302,2022-04-03
Nelson Marlborough,10255,9922,4599,7738,11248,2022-04-03
West Coast,2499,2428,1166,1921,2765,2022-04-03
Canterbury,35505,34690,17160,27567,36969,2022-04-03
South Canterbury,3172,3075,1394,2349,3428,2022-04-03
Southern,22289,21721,10760,17423,23646,2022-04-03
Overseas / Unknown,331,313,125,236,2653,2022-04-03
New Zealand,520417,502966,229803,399607,571052,2022-04-03
