DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43691,41331,15258,27273,50488,2022-02-24
Waitemata,37826,36707,14818,26178,41113,2022-02-24
Auckland,26353,25593,11439,19102,27792,2022-02-24
Counties Manukau,57203,54889,19277,36968,63493,2022-02-24
Waikato,63488,60643,21350,39966,69707,2022-02-24
Lakes,27022,25706,9225,16261,30085,2022-02-24
Bay of Plenty,41837,39707,13981,25067,47734,2022-02-24
Tairawhiti,17967,17128,6680,11083,19839,2022-02-24
Taranaki,14429,13801,4581,8626,15904,2022-02-24
Hawkes Bay,30977,29525,10750,18316,34059,2022-02-24
MidCentral,22879,21937,8394,13946,24225,2022-02-24
Whanganui,11809,11292,4560,7319,13512,2022-02-24
Capital and Coast,25786,25140,11886,17966,26967,2022-02-24
Hutt Valley,17943,17342,7278,11551,19123,2022-02-24
Wairarapa,5896,5635,2146,3541,6302,2022-02-24
Nelson Marlborough,10240,9841,4070,6260,11248,2022-02-24
West Coast,2495,2403,975,1605,2765,2022-02-24
Canterbury,35302,34258,14047,22575,36969,2022-02-24
South Canterbury,3162,3036,1185,1933,3428,2022-02-24
Southern,22035,21363,9271,14574,23646,2022-02-24
Overseas / Unknown,346,324,101,215,2653,2022-02-24
New Zealand,518686,497601,191272,330325,571052,2022-02-24
