DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43738,41746,18606,32761,50488,2022-03-28
Waitemata,37921,36969,17180,29698,41113,2022-03-28
Auckland,26517,25872,13259,21487,27792,2022-03-28
Counties Manukau,57312,55335,22934,43273,63493,2022-03-28
Waikato,63646,61224,25455,47896,69707,2022-03-28
Lakes,27108,26045,11305,20079,30085,2022-03-28
Bay of Plenty,41936,40127,17008,31026,47734,2022-03-28
Tairawhiti,17992,17262,8149,13510,19839,2022-03-28
Taranaki,14503,14007,5746,10604,15904,2022-03-28
Hawkes Bay,31052,29811,13002,22680,34059,2022-03-28
MidCentral,22955,22205,10156,17100,24225,2022-03-28
Whanganui,11842,11427,5341,8913,13512,2022-03-28
Capital and Coast,25843,25334,14039,20851,26967,2022-03-28
Hutt Valley,17994,17496,8616,13913,19123,2022-03-28
Wairarapa,5916,5703,2536,4428,6302,2022-03-28
Nelson Marlborough,10255,9918,4565,7576,11248,2022-03-28
West Coast,2493,2421,1157,1899,2765,2022-03-28
Canterbury,35502,34684,17060,27210,36969,2022-03-28
South Canterbury,3169,3073,1386,2323,3428,2022-03-28
Southern,22238,21659,10679,17161,23646,2022-03-28
Overseas / Unknown,336,320,129,242,2653,2022-03-28
New Zealand,520268,502638,228308,394630,571052,2022-03-28
