DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43777,41825,19047,34146,50488,2022-04-26
Waitemata,37931,37016,17578,30343,41113,2022-04-26
Auckland,26592,25974,13605,22130,27792,2022-04-26
Counties Manukau,57306,55401,23475,44860,63493,2022-04-26
Waikato,63718,61386,26103,50023,69707,2022-04-26
Lakes,27144,26108,11588,21193,30085,2022-04-26
Bay of Plenty,42011,40262,17295,32723,47734,2022-04-26
Tairawhiti,18014,17329,8320,14200,19839,2022-04-26
Taranaki,14525,14041,5874,11205,15904,2022-04-26
Hawkes Bay,31037,29851,13217,23967,34059,2022-04-26
MidCentral,23018,22293,10359,18025,24225,2022-04-26
Whanganui,11830,11427,5419,9357,13512,2022-04-26
Capital and Coast,25846,25368,14234,21440,26967,2022-04-26
Hutt Valley,18019,17535,8764,14494,19123,2022-04-26
Wairarapa,5944,5735,2602,4649,6302,2022-04-26
Nelson Marlborough,10264,9938,4659,8028,11248,2022-04-26
West Coast,2504,2434,1193,1988,2765,2022-04-26
Canterbury,35566,34782,17446,28433,36969,2022-04-26
South Canterbury,3178,3086,1407,2446,3428,2022-04-26
Southern,22382,21829,10932,17923,23646,2022-04-26
Overseas / Unknown,324,306,127,252,2653,2022-04-26
New Zealand,520930,503926,233244,411825,571052,2022-04-26
