DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43726,41409,15965,27884,50488,2022-02-28
Waitemata,37868,36798,15626,26767,41113,2022-02-28
Auckland,26368,25621,11994,19486,27792,2022-02-28
Counties Manukau,57268,55004,20323,38062,63493,2022-02-28
Waikato,63551,60751,22447,41222,69707,2022-02-28
Lakes,27053,25784,9920,16753,30085,2022-02-28
Bay of Plenty,41899,39836,14941,25771,47734,2022-02-28
Tairawhiti,17995,17169,7079,11377,19839,2022-02-28
Taranaki,14455,13842,4863,8900,15904,2022-02-28
Hawkes Bay,30999,29598,11293,18973,34059,2022-02-28
MidCentral,22901,21981,8871,14321,24225,2022-02-28
Whanganui,11828,11323,4726,7484,13512,2022-02-28
Capital and Coast,25802,25184,12559,18319,26967,2022-02-28
Hutt Valley,17958,17380,7649,11852,19123,2022-02-28
Wairarapa,5893,5634,2241,3654,6302,2022-02-28
Nelson Marlborough,10254,9863,4190,6386,11248,2022-02-28
West Coast,2499,2409,1008,1658,2765,2022-02-28
Canterbury,35348,34327,14956,23209,36969,2022-02-28
South Canterbury,3164,3045,1244,1987,3428,2022-02-28
Southern,22059,21405,9627,14904,23646,2022-02-28
Overseas / Unknown,348,328,109,220,2653,2022-02-28
New Zealand,519236,498691,201631,339189,571052,2022-02-28
