DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43870,41720,17777,30528,50488,2022-03-11
Waitemata,37970,36970,16618,28318,41113,2022-03-11
Auckland,26442,25751,12744,20502,27792,2022-03-11
Counties Manukau,57431,55294,21983,40577,63493,2022-03-11
Waikato,63759,61156,24494,44615,69707,2022-03-11
Lakes,27145,25996,10789,18520,30085,2022-03-11
Bay of Plenty,42009,40072,16349,28258,47734,2022-03-11
Tairawhiti,18039,17269,7845,12463,19839,2022-03-11
Taranaki,14499,13957,5421,9826,15904,2022-03-11
Hawkes Bay,31102,29776,12470,20834,34059,2022-03-11
MidCentral,22975,22142,9746,15697,24225,2022-03-11
Whanganui,11867,11413,5160,8198,13512,2022-03-11
Capital and Coast,25854,25293,13561,19649,26967,2022-03-11
Hutt Valley,17992,17453,8277,12858,19123,2022-03-11
Wairarapa,5911,5677,2419,4084,6302,2022-03-11
Nelson Marlborough,10289,9921,4407,7018,11248,2022-03-11
West Coast,2504,2423,1112,1795,2765,2022-03-11
Canterbury,35461,34553,16317,25537,36969,2022-03-11
South Canterbury,3168,3065,1346,2168,3428,2022-03-11
Southern,22187,21555,10292,16134,23646,2022-03-11
Overseas / Unknown,346,331,119,231,2653,2022-03-11
New Zealand,520820,501787,219246,367810,571052,2022-03-11
