DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43787,41834,19068,34187,50488,2022-04-27
Waitemata,37931,37013,17584,30369,41113,2022-04-27
Auckland,26603,25990,13611,22164,27792,2022-04-27
Counties Manukau,57305,55401,23489,44915,63493,2022-04-27
Waikato,63727,61395,26120,50107,69707,2022-04-27
Lakes,27146,26111,11593,21231,30085,2022-04-27
Bay of Plenty,42012,40267,17306,32795,47734,2022-04-27
Tairawhiti,18016,17330,8323,14217,19839,2022-04-27
Taranaki,14523,14039,5875,11217,15904,2022-04-27
Hawkes Bay,31033,29847,13225,23999,34059,2022-04-27
MidCentral,23013,22287,10363,18049,24225,2022-04-27
Whanganui,11837,11432,5427,9372,13512,2022-04-27
Capital and Coast,25846,25369,14245,21465,26967,2022-04-27
Hutt Valley,18020,17536,8765,14513,19123,2022-04-27
Wairarapa,5941,5732,2603,4653,6302,2022-04-27
Nelson Marlborough,10264,9938,4661,8044,11248,2022-04-27
West Coast,2506,2435,1195,1995,2765,2022-04-27
Canterbury,35576,34794,17455,28477,36969,2022-04-27
South Canterbury,3174,3083,1407,2447,3428,2022-04-27
Southern,22380,21827,10937,17948,23646,2022-04-27
Overseas / Unknown,319,301,122,246,2653,2022-04-27
New Zealand,520959,503961,233374,412410,571052,2022-04-27
