DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43761,41777,18679,32813,50488,2022-03-30
Waitemata,37927,36978,17233,29734,41113,2022-03-30
Auckland,26537,25891,13287,21522,27792,2022-03-30
Counties Manukau,57311,55342,22985,43343,63493,2022-03-30
Waikato,63647,61229,25549,48002,69707,2022-03-30
Lakes,27106,26037,11335,20156,30085,2022-03-30
Bay of Plenty,41944,40146,17049,31142,47734,2022-03-30
Tairawhiti,18002,17274,8162,13526,19839,2022-03-30
Taranaki,14514,14019,5770,10629,15904,2022-03-30
Hawkes Bay,31056,29832,13025,22755,34059,2022-03-30
MidCentral,22947,22205,10176,17159,24225,2022-03-30
Whanganui,11842,11433,5355,8944,13512,2022-03-30
Capital and Coast,25840,25333,14064,20916,26967,2022-03-30
Hutt Valley,18001,17504,8637,13929,19123,2022-03-30
Wairarapa,5919,5705,2542,4430,6302,2022-03-30
Nelson Marlborough,10255,9923,4578,7587,11248,2022-03-30
West Coast,2494,2422,1161,1899,2765,2022-03-30
Canterbury,35521,34701,17104,27296,36969,2022-03-30
South Canterbury,3170,3074,1389,2322,3428,2022-03-30
Southern,22247,21675,10706,17210,23646,2022-03-30
Overseas / Unknown,335,318,132,240,2653,2022-03-30
New Zealand,520376,502818,228918,395554,571052,2022-03-30
