DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43880,41741,17852,30910,50488,2022-03-13
Waitemata,37984,36987,16699,28590,41113,2022-03-13
Auckland,26440,25761,12809,20651,27792,2022-03-13
Counties Manukau,57447,55326,22242,41112,63493,2022-03-13
Waikato,63763,61173,24594,45141,69707,2022-03-13
Lakes,27152,26019,10909,18721,30085,2022-03-13
Bay of Plenty,42020,40102,16525,28731,47734,2022-03-13
Tairawhiti,18043,17278,7917,12576,19839,2022-03-13
Taranaki,14500,13959,5456,9962,15904,2022-03-13
Hawkes Bay,31113,29790,12556,21077,34059,2022-03-13
MidCentral,22981,22150,9786,15916,24225,2022-03-13
Whanganui,11869,11418,5173,8342,13512,2022-03-13
Capital and Coast,25853,25302,13614,19826,26967,2022-03-13
Hutt Valley,17993,17459,8338,12983,19123,2022-03-13
Wairarapa,5913,5680,2430,4156,6302,2022-03-13
Nelson Marlborough,10289,9925,4426,7103,11248,2022-03-13
West Coast,2505,2424,1114,1812,2765,2022-03-13
Canterbury,35468,34572,16401,25770,36969,2022-03-13
South Canterbury,3171,3068,1358,2187,3428,2022-03-13
Southern,22193,21563,10338,16261,23646,2022-03-13
Overseas / Unknown,346,331,119,234,2653,2022-03-13
New Zealand,520923,502028,220656,372061,571052,2022-03-13
