DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43744,41742,18469,32366,50488,2022-03-23
Waitemata,37912,36961,17089,29467,41113,2022-03-23
Auckland,26475,25823,13171,21275,27792,2022-03-23
Counties Manukau,57358,55354,22823,42916,63493,2022-03-23
Waikato,63643,61191,25285,47215,69707,2022-03-23
Lakes,27105,26040,11235,19759,30085,2022-03-23
Bay of Plenty,41924,40104,16906,30482,47734,2022-03-23
Tairawhiti,17988,17253,8110,13292,19839,2022-03-23
Taranaki,14494,13989,5681,10447,15904,2022-03-23
Hawkes Bay,31046,29799,12922,22314,34059,2022-03-23
MidCentral,22950,22195,10084,16772,24225,2022-03-23
Whanganui,11841,11420,5320,8758,13512,2022-03-23
Capital and Coast,25828,25318,13949,20582,26967,2022-03-23
Hutt Valley,17984,17480,8544,13660,19123,2022-03-23
Wairarapa,5914,5698,2514,4360,6302,2022-03-23
Nelson Marlborough,10255,9915,4544,7456,11248,2022-03-23
West Coast,2491,2417,1152,1872,2765,2022-03-23
Canterbury,35489,34656,16928,26805,36969,2022-03-23
South Canterbury,3170,3075,1380,2285,3428,2022-03-23
Southern,22205,21622,10605,16919,23646,2022-03-23
Overseas / Unknown,336,318,129,237,2653,2022-03-23
New Zealand,520152,502370,226840,389239,571052,2022-03-23
