DHB,Dose1,Dose2,Population,Date
Northland,43014,40110,50488,2022-01-30
Waitemata,37542,36167,41113,2022-01-30
Auckland,26070,25102,27792,2022-01-30
Counties Manukau,56656,53633,63493,2022-01-30
Waikato,62591,58970,69707,2022-01-30
Lakes,26632,24951,30085,2022-01-30
Bay of Plenty,41267,38557,47734,2022-01-30
Tairawhiti,17740,16711,19839,2022-01-30
Taranaki,14218,13385,15904,2022-01-30
Hawkes Bay,30508,28595,34059,2022-01-30
MidCentral,22559,21363,24225,2022-01-30
Whanganui,11630,10975,13512,2022-01-30
Capital and Coast,25508,24670,26967,2022-01-30
Hutt Valley,17764,16930,19123,2022-01-30
Wairarapa,5820,5513,6302,2022-01-30
Nelson Marlborough,10118,9610,11248,2022-01-30
West Coast,2470,2339,2765,2022-01-30
Canterbury,34845,33441,36969,2022-01-30
South Canterbury,3105,2940,3428,2022-01-30
Southern,21795,20939,23646,2022-01-30
Overseas / Unknown,331,301,2653,2022-01-30
New Zealand,512183,485202,571052,2022-01-30
All DHBs to 90%,NA,NA,NA,2022-01-30
