DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43541,41064,13717,26053,50488,2022-02-17
Waitemata,37771,36583,13458,25149,41113,2022-02-17
Auckland,26278,25479,10403,18482,27792,2022-02-17
Counties Manukau,57113,54637,17459,35189,63493,2022-02-17
Waikato,63292,60306,19271,38080,69707,2022-02-17
Lakes,26930,25535,8423,15438,30085,2022-02-17
Bay of Plenty,41729,39473,12609,23668,47734,2022-02-17
Tairawhiti,17905,17015,6027,10571,19839,2022-02-17
Taranaki,14391,13707,4107,8165,15904,2022-02-17
Hawkes Bay,30862,29285,9622,17452,34059,2022-02-17
MidCentral,22830,21819,7556,13245,24225,2022-02-17
Whanganui,11764,11222,4125,6987,13512,2022-02-17
Capital and Coast,25715,25012,10457,17250,26967,2022-02-17
Hutt Valley,17916,17228,6503,11016,19123,2022-02-17
Wairarapa,5888,5619,1977,3388,6302,2022-02-17
Nelson Marlborough,10214,9783,3745,6009,11248,2022-02-17
West Coast,2491,2382,882,1532,2765,2022-02-17
Canterbury,35193,34065,12295,21175,36969,2022-02-17
South Canterbury,3152,3013,1092,1850,3428,2022-02-17
Southern,21979,21269,8458,13970,23646,2022-02-17
Overseas / Unknown,324,304,85,192,2653,2022-02-17
New Zealand,517278,494800,172271,314861,571052,2022-02-17
