DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43731,41694,18303,32008,50488,2022-03-20
Waitemata,37928,36973,17023,29252,41113,2022-03-20
Auckland,26448,25780,13063,21115,27792,2022-03-20
Counties Manukau,57341,55319,22695,42372,63493,2022-03-20
Waikato,63616,61145,25119,46730,69707,2022-03-20
Lakes,27106,26024,11163,19546,30085,2022-03-20
Bay of Plenty,41897,40059,16801,30061,47734,2022-03-20
Tairawhiti,17990,17248,8079,13035,19839,2022-03-20
Taranaki,14485,13974,5624,10291,15904,2022-03-20
Hawkes Bay,31041,29782,12851,21966,34059,2022-03-20
MidCentral,22937,22161,10013,16578,24225,2022-03-20
Whanganui,11836,11406,5284,8643,13512,2022-03-20
Capital and Coast,25813,25295,13880,20384,26967,2022-03-20
Hutt Valley,17980,17472,8514,13492,19123,2022-03-20
Wairarapa,5906,5684,2489,4296,6302,2022-03-20
Nelson Marlborough,10255,9908,4516,7360,11248,2022-03-20
West Coast,2489,2414,1143,1858,2765,2022-03-20
Canterbury,35456,34606,16792,26522,36969,2022-03-20
South Canterbury,3169,3071,1370,2260,3428,2022-03-20
Southern,22189,21602,10548,16737,23646,2022-03-20
Overseas / Unknown,334,317,122,228,2653,2022-03-20
New Zealand,519947,501934,225392,384734,571052,2022-03-20
