DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43848,41676,17562,30056,50488,2022-03-09
Waitemata,37951,36935,16523,28064,41113,2022-03-09
Auckland,26416,25729,12661,20319,27792,2022-03-09
Counties Manukau,57401,55246,21805,40198,63493,2022-03-09
Waikato,63722,61085,24218,43938,69707,2022-03-09
Lakes,27142,25961,10690,18201,30085,2022-03-09
Bay of Plenty,41993,40034,16147,27816,47734,2022-03-09
Tairawhiti,18034,17260,7758,12270,19839,2022-03-09
Taranaki,14495,13930,5319,9651,15904,2022-03-09
Hawkes Bay,31084,29757,12353,20543,34059,2022-03-09
MidCentral,22967,22118,9624,15386,24225,2022-03-09
Whanganui,11865,11401,5090,8077,13512,2022-03-09
Capital and Coast,25834,25262,13432,19448,26967,2022-03-09
Hutt Valley,17990,17448,8205,12692,19123,2022-03-09
Wairarapa,5908,5669,2404,3999,6302,2022-03-09
Nelson Marlborough,10280,9907,4376,6910,11248,2022-03-09
West Coast,2502,2421,1090,1771,2765,2022-03-09
Canterbury,35449,34524,16126,25229,36969,2022-03-09
South Canterbury,3165,3060,1334,2133,3428,2022-03-09
Southern,22167,21531,10187,15958,23646,2022-03-09
Overseas / Unknown,347,332,122,231,2653,2022-03-09
New Zealand,520560,501286,217026,362890,571052,2022-03-09
