DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2901,2800,1011,1968,2934,2022-02-19
Waitemata,35797,35070,13732,26133,37573,2022-02-19
Auckland,44108,43087,17318,32779,46866,2022-02-19
Counties Manukau,109811,107192,40477,78821,116498,2022-02-19
Waikato,10438,10181,4056,7503,10682,2022-02-19
Lakes,2180,2116,877,1531,2286,2022-02-19
Bay of Plenty,4841,4724,1697,3508,3679,2022-02-19
Tairawhiti,1051,1029,404,767,965,2022-02-19
Taranaki,1302,1274,449,844,1270,2022-02-19
Hawkes Bay,7094,6902,2664,5077,5020,2022-02-19
MidCentral,4515,4403,1728,3055,4468,2022-02-19
Whanganui,1248,1208,480,850,1381,2022-02-19
Capital and Coast,18436,18062,8157,12874,19177,2022-02-19
Hutt Valley,9517,9297,4041,6560,9894,2022-02-19
Wairarapa,882,858,379,611,837,2022-02-19
Nelson Marlborough,4561,4484,1920,3547,2115,2022-02-19
West Coast,283,276,111,188,282,2022-02-19
Canterbury,12735,12433,4695,8531,12737,2022-02-19
South Canterbury,982,963,286,675,837,2022-02-19
Southern,6775,6623,2609,4750,6031,2022-02-19
Overseas / Unknown,416,395,153,311,1149,2022-02-19
New Zealand,279873,273377,107244,200883,286681,2022-02-19
