DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2916,2842,1353,2435,2934,2022-04-28
Waitemata,35909,35379,17751,29907,37573,2022-04-28
Auckland,44301,43496,22387,37332,46866,2022-04-28
Counties Manukau,110165,108148,52058,91125,116498,2022-04-28
Waikato,10571,10370,5268,8838,10682,2022-04-28
Lakes,2197,2137,1146,1876,2286,2022-04-28
Bay of Plenty,4952,4865,2230,4267,3679,2022-04-28
Tairawhiti,1071,1048,568,924,965,2022-04-28
Taranaki,1303,1280,625,1061,1270,2022-04-28
Hawkes Bay,7644,7507,3782,6575,5020,2022-04-28
MidCentral,4539,4459,2295,3696,4468,2022-04-28
Whanganui,1255,1222,632,1034,1381,2022-04-28
Capital and Coast,18449,18207,10375,15701,19177,2022-04-28
Hutt Valley,9553,9389,5137,7987,9894,2022-04-28
Wairarapa,907,888,493,768,837,2022-04-28
Nelson Marlborough,4555,4500,2360,4057,2115,2022-04-28
West Coast,275,269,148,215,282,2022-04-28
Canterbury,12840,12622,6448,10648,12737,2022-04-28
South Canterbury,1013,999,450,863,837,2022-04-28
Southern,7022,6922,3582,5933,6031,2022-04-28
Overseas / Unknown,412,398,187,359,1149,2022-04-28
New Zealand,281849,276947,139275,235601,286681,2022-04-28
