DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2924,2848,1310,2320,2934,2022-03-23
Waitemata,35886,35325,17196,29066,37573,2022-03-23
Auckland,44200,43336,21656,36213,46866,2022-03-23
Counties Manukau,110200,108069,50411,88391,116498,2022-03-23
Waikato,10514,10302,5106,8538,10682,2022-03-23
Lakes,2206,2145,1120,1791,2286,2022-03-23
Bay of Plenty,4937,4844,2182,4090,3679,2022-03-23
Tairawhiti,1073,1050,543,890,965,2022-03-23
Taranaki,1299,1272,601,1007,1270,2022-03-23
Hawkes Bay,7467,7324,3624,6124,5020,2022-03-23
MidCentral,4529,4441,2243,3520,4468,2022-03-23
Whanganui,1249,1214,608,986,1381,2022-03-23
Capital and Coast,18441,18181,10184,15010,19177,2022-03-23
Hutt Valley,9545,9371,5019,7593,9894,2022-03-23
Wairarapa,894,873,468,729,837,2022-03-23
Nelson Marlborough,4622,4564,2343,3948,2115,2022-03-23
West Coast,286,280,151,217,282,2022-03-23
Canterbury,12812,12582,6248,10195,12737,2022-03-23
South Canterbury,1008,992,427,808,837,2022-03-23
Southern,6908,6794,3413,5631,6031,2022-03-23
Overseas / Unknown,417,401,182,337,1149,2022-03-23
New Zealand,281417,276208,135035,227404,286681,2022-03-23
