DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2925,2847,1284,2274,2934,2022-03-18
Waitemata,35871,35301,17047,28737,37573,2022-03-18
Auckland,44178,43297,21441,35771,46866,2022-03-18
Counties Manukau,110115,107941,49861,87171,116498,2022-03-18
Waikato,10502,10290,5079,8429,10682,2022-03-18
Lakes,2200,2137,1102,1760,2286,2022-03-18
Bay of Plenty,4912,4820,2178,3996,3679,2022-03-18
Tairawhiti,1075,1051,544,881,965,2022-03-18
Taranaki,1301,1273,590,986,1270,2022-03-18
Hawkes Bay,7431,7287,3566,5983,5020,2022-03-18
MidCentral,4522,4433,2222,3473,4468,2022-03-18
Whanganui,1253,1216,604,976,1381,2022-03-18
Capital and Coast,18445,18182,10118,14789,19177,2022-03-18
Hutt Valley,9538,9365,4980,7479,9894,2022-03-18
Wairarapa,892,872,459,720,837,2022-03-18
Nelson Marlborough,4628,4571,2336,3924,2115,2022-03-18
West Coast,288,282,152,218,282,2022-03-18
Canterbury,12803,12569,6190,10049,12737,2022-03-18
South Canterbury,1009,993,420,794,837,2022-03-18
Southern,6899,6781,3375,5534,6031,2022-03-18
Overseas / Unknown,420,405,187,330,1149,2022-03-18
New Zealand,281207,275913,133735,224274,286681,2022-03-18
