DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2920,2846,1325,2357,2934,2022-04-01
Waitemata,35864,35312,17373,29379,37573,2022-04-01
Auckland,44257,43404,21968,36660,46866,2022-04-01
Counties Manukau,110134,108010,50898,89227,116498,2022-04-01
Waikato,10528,10320,5172,8660,10682,2022-04-01
Lakes,2202,2142,1129,1815,2286,2022-04-01
Bay of Plenty,4948,4857,2215,4165,3679,2022-04-01
Tairawhiti,1076,1053,553,907,965,2022-04-01
Taranaki,1299,1274,613,1028,1270,2022-04-01
Hawkes Bay,7546,7403,3708,6307,5020,2022-04-01
MidCentral,4532,4446,2262,3592,4468,2022-04-01
Whanganui,1251,1218,616,1006,1381,2022-04-01
Capital and Coast,18444,18194,10266,15355,19177,2022-04-01
Hutt Valley,9556,9382,5069,7764,9894,2022-04-01
Wairarapa,900,881,477,742,837,2022-04-01
Nelson Marlborough,4567,4507,2343,3940,2115,2022-04-01
West Coast,281,275,149,218,282,2022-04-01
Canterbury,12834,12608,6340,10416,12737,2022-04-01
South Canterbury,1008,994,434,828,837,2022-04-01
Southern,6979,6874,3485,5793,6031,2022-04-01
Overseas / Unknown,408,393,183,335,1149,2022-04-01
New Zealand,281534,276393,136578,230494,286681,2022-04-01
