DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2922,2848,1338,2386,2934,2022-04-11
Waitemata,35874,35345,17627,29698,37573,2022-04-11
Auckland,44315,43480,22239,37093,46866,2022-04-11
Counties Manukau,110166,108128,51661,90392,116498,2022-04-11
Waikato,10545,10343,5227,8772,10682,2022-04-11
Lakes,2198,2138,1136,1847,2286,2022-04-11
Bay of Plenty,4955,4865,2225,4220,3679,2022-04-11
Tairawhiti,1074,1050,563,916,965,2022-04-11
Taranaki,1299,1276,622,1040,1270,2022-04-11
Hawkes Bay,7551,7411,3720,6399,5020,2022-04-11
MidCentral,4536,4454,2283,3648,4468,2022-04-11
Whanganui,1252,1219,623,1017,1381,2022-04-11
Capital and Coast,18435,18186,10330,15512,19177,2022-04-11
Hutt Valley,9555,9388,5125,7877,9894,2022-04-11
Wairarapa,905,886,490,755,837,2022-04-11
Nelson Marlborough,4569,4512,2356,3984,2115,2022-04-11
West Coast,281,275,150,219,282,2022-04-11
Canterbury,12839,12623,6418,10534,12737,2022-04-11
South Canterbury,1012,1000,443,841,837,2022-04-11
Southern,7019,6916,3560,5882,6031,2022-04-11
Overseas / Unknown,404,389,185,339,1149,2022-04-11
New Zealand,281706,276732,138321,233371,286681,2022-04-11
