DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2915,2819,1089,2031,2934,2022-02-24
Waitemata,35847,35150,14699,26683,37573,2022-02-24
Auckland,44142,43145,18436,33405,46866,2022-02-24
Counties Manukau,109950,107420,42785,80580,116498,2022-02-24
Waikato,10478,10231,4329,7661,10682,2022-02-24
Lakes,2182,2124,930,1564,2286,2022-02-24
Bay of Plenty,4861,4746,1892,3632,3679,2022-02-24
Tairawhiti,1057,1036,431,790,965,2022-02-24
Taranaki,1300,1271,487,861,1270,2022-02-24
Hawkes Bay,7205,7028,2944,5291,5020,2022-02-24
MidCentral,4508,4408,1852,3112,4468,2022-02-24
Whanganui,1249,1207,523,863,1381,2022-02-24
Capital and Coast,18477,18131,8778,13272,19177,2022-02-24
Hutt Valley,9524,9320,4272,6727,9894,2022-02-24
Wairarapa,892,868,396,632,837,2022-02-24
Nelson Marlborough,4591,4517,2008,3610,2115,2022-02-24
West Coast,285,279,121,195,282,2022-02-24
Canterbury,12766,12478,5101,8901,12737,2022-02-24
South Canterbury,986,971,320,690,837,2022-02-24
Southern,6799,6649,2803,4853,6031,2022-02-24
Overseas / Unknown,423,403,157,317,1149,2022-02-24
New Zealand,280437,274201,114353,205670,286681,2022-02-24
