DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2925,2851,1323,2346,2934,2022-03-30
Waitemata,35864,35317,17336,29263,37573,2022-03-30
Auckland,44258,43408,21927,36537,46866,2022-03-30
Counties Manukau,110143,108024,50824,88870,116498,2022-03-30
Waikato,10527,10322,5156,8627,10682,2022-03-30
Lakes,2206,2146,1128,1809,2286,2022-03-30
Bay of Plenty,4946,4854,2212,4138,3679,2022-03-30
Tairawhiti,1078,1055,552,902,965,2022-03-30
Taranaki,1299,1272,608,1019,1270,2022-03-30
Hawkes Bay,7534,7391,3698,6254,5020,2022-03-30
MidCentral,4531,4444,2258,3572,4468,2022-03-30
Whanganui,1250,1217,612,996,1381,2022-03-30
Capital and Coast,18447,18194,10253,15279,19177,2022-03-30
Hutt Valley,9552,9377,5061,7714,9894,2022-03-30
Wairarapa,900,881,476,740,837,2022-03-30
Nelson Marlborough,4593,4534,2345,3956,2115,2022-03-30
West Coast,284,278,151,220,282,2022-03-30
Canterbury,12829,12603,6323,10344,12737,2022-03-30
South Canterbury,1007,993,432,820,837,2022-03-30
Southern,6956,6851,3477,5743,6031,2022-03-30
Overseas / Unknown,414,399,184,340,1149,2022-03-30
New Zealand,281543,276411,136336,229489,286681,2022-03-30
