DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2906,2802,1032,1990,2934,2022-02-21
Waitemata,35810,35109,14103,26433,37573,2022-02-21
Auckland,44114,43098,17760,33107,46866,2022-02-21
Counties Manukau,109858,107260,41515,79909,116498,2022-02-21
Waikato,10456,10204,4131,7560,10682,2022-02-21
Lakes,2182,2122,900,1545,2286,2022-02-21
Bay of Plenty,4848,4732,1773,3555,3679,2022-02-21
Tairawhiti,1053,1030,413,772,965,2022-02-21
Taranaki,1301,1273,459,850,1270,2022-02-21
Hawkes Bay,7127,6940,2756,5180,5020,2022-02-21
MidCentral,4511,4401,1759,3078,4468,2022-02-21
Whanganui,1247,1209,498,854,1381,2022-02-21
Capital and Coast,18443,18076,8326,13071,19177,2022-02-21
Hutt Valley,9522,9305,4134,6672,9894,2022-02-21
Wairarapa,882,860,387,618,837,2022-02-21
Nelson Marlborough,4571,4496,1940,3586,2115,2022-02-21
West Coast,283,276,111,190,282,2022-02-21
Canterbury,12744,12445,4816,8716,12737,2022-02-21
South Canterbury,982,962,304,683,837,2022-02-21
Southern,6785,6636,2681,4791,6031,2022-02-21
Overseas / Unknown,420,399,156,318,1149,2022-02-21
New Zealand,280045,273635,109954,203478,286681,2022-02-21
