DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2920,2846,1328,2360,2934,2022-04-03
Waitemata,35867,35316,17435,29427,37573,2022-04-03
Auckland,44267,43416,22003,36727,46866,2022-04-03
Counties Manukau,110151,108027,51098,89400,116498,2022-04-03
Waikato,10527,10322,5174,8679,10682,2022-04-03
Lakes,2202,2143,1134,1820,2286,2022-04-03
Bay of Plenty,4949,4857,2216,4170,3679,2022-04-03
Tairawhiti,1076,1053,555,908,965,2022-04-03
Taranaki,1299,1274,613,1030,1270,2022-04-03
Hawkes Bay,7545,7402,3712,6319,5020,2022-04-03
MidCentral,4531,4445,2264,3600,4468,2022-04-03
Whanganui,1251,1218,617,1010,1381,2022-04-03
Capital and Coast,18443,18191,10279,15388,19177,2022-04-03
Hutt Valley,9555,9381,5073,7782,9894,2022-04-03
Wairarapa,902,883,478,745,837,2022-04-03
Nelson Marlborough,4567,4507,2342,3947,2115,2022-04-03
West Coast,281,275,149,218,282,2022-04-03
Canterbury,12838,12612,6354,10440,12737,2022-04-03
South Canterbury,1008,995,436,832,837,2022-04-03
Southern,6981,6876,3496,5799,6031,2022-04-03
Overseas / Unknown,408,393,183,335,1149,2022-04-03
New Zealand,281568,276432,136939,230936,286681,2022-04-03
