DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2926,2846,1278,2251,2934,2022-03-16
Waitemata,35959,35360,16980,28598,37573,2022-03-16
Auckland,44299,43384,21352,35612,46866,2022-03-16
Counties Manukau,110331,108104,49706,86742,116498,2022-03-16
Waikato,10525,10298,5046,8376,10682,2022-03-16
Lakes,2208,2143,1093,1747,2286,2022-03-16
Bay of Plenty,4927,4830,2175,3965,3679,2022-03-16
Tairawhiti,1072,1048,538,869,965,2022-03-16
Taranaki,1302,1272,587,972,1270,2022-03-16
Hawkes Bay,7430,7286,3540,5931,5020,2022-03-16
MidCentral,4528,4438,2207,3435,4468,2022-03-16
Whanganui,1254,1215,600,964,1381,2022-03-16
Capital and Coast,18519,18235,10082,14664,19177,2022-03-16
Hutt Valley,9563,9379,4947,7402,9894,2022-03-16
Wairarapa,894,872,454,716,837,2022-03-16
Nelson Marlborough,4626,4568,2317,3875,2115,2022-03-16
West Coast,288,282,150,218,282,2022-03-16
Canterbury,12815,12573,6146,9980,12737,2022-03-16
South Canterbury,1010,993,414,773,837,2022-03-16
Southern,6909,6789,3355,5466,6031,2022-03-16
Overseas / Unknown,418,403,184,319,1149,2022-03-16
New Zealand,281803,276318,133151,222875,286681,2022-03-16
