DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2915,2825,1156,2050,2934,2022-03-01
Waitemata,35871,35198,15775,27089,37573,2022-03-01
Auckland,44201,43219,19850,33878,46866,2022-03-01
Counties Manukau,110074,107634,45962,82318,116498,2022-03-01
Waikato,10509,10257,4652,7848,10682,2022-03-01
Lakes,2191,2130,992,1611,2286,2022-03-01
Bay of Plenty,4871,4758,2006,3701,3679,2022-03-01
Tairawhiti,1068,1045,468,812,965,2022-03-01
Taranaki,1300,1272,538,888,1270,2022-03-01
Hawkes Bay,7240,7082,3110,5398,5020,2022-03-01
MidCentral,4519,4422,2014,3177,4468,2022-03-01
Whanganui,1250,1210,544,887,1381,2022-03-01
Capital and Coast,18494,18161,9359,13471,19177,2022-03-01
Hutt Valley,9539,9334,4568,6835,9894,2022-03-01
Wairarapa,893,869,420,650,837,2022-03-01
Nelson Marlborough,4634,4564,2087,3658,2115,2022-03-01
West Coast,285,279,130,198,282,2022-03-01
Canterbury,12781,12514,5555,9112,12737,2022-03-01
South Canterbury,990,975,345,702,837,2022-03-01
Southern,6809,6661,3013,4929,6031,2022-03-01
Overseas / Unknown,424,406,167,312,1149,2022-03-01
New Zealand,280858,274815,122711,209524,286681,2022-03-01
