DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2925,2839,1272,2200,2934,2022-03-12
Waitemata,35933,35318,16826,28199,37573,2022-03-12
Auckland,44283,43353,21151,35155,46866,2022-03-12
Counties Manukau,110270,107999,49280,85326,116498,2022-03-12
Waikato,10527,10294,4994,8268,10682,2022-03-12
Lakes,2206,2143,1078,1716,2286,2022-03-12
Bay of Plenty,4927,4823,2149,3901,3679,2022-03-12
Tairawhiti,1071,1047,524,851,965,2022-03-12
Taranaki,1302,1273,586,954,1270,2022-03-12
Hawkes Bay,7372,7227,3448,5784,5020,2022-03-12
MidCentral,4533,4442,2173,3384,4468,2022-03-12
Whanganui,1250,1211,593,943,1381,2022-03-12
Capital and Coast,18512,18215,9999,14398,19177,2022-03-12
Hutt Valley,9552,9365,4887,7246,9894,2022-03-12
Wairarapa,894,871,450,702,837,2022-03-12
Nelson Marlborough,4627,4569,2236,3827,2115,2022-03-12
West Coast,288,282,150,215,282,2022-03-12
Canterbury,12809,12562,6066,9818,12737,2022-03-12
South Canterbury,1001,985,406,757,837,2022-03-12
Southern,6889,6766,3295,5335,6031,2022-03-12
Overseas / Unknown,425,411,185,318,1149,2022-03-12
New Zealand,281596,275995,131748,219297,286681,2022-03-12
