DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2919,2845,1352,2435,2934,2022-04-27
Waitemata,35905,35376,17744,29888,37573,2022-04-27
Auckland,44295,43488,22367,37303,46866,2022-04-27
Counties Manukau,110162,108141,52024,91059,116498,2022-04-27
Waikato,10572,10371,5267,8836,10682,2022-04-27
Lakes,2198,2138,1146,1874,2286,2022-04-27
Bay of Plenty,4951,4864,2229,4260,3679,2022-04-27
Tairawhiti,1072,1049,567,924,965,2022-04-27
Taranaki,1303,1280,625,1061,1270,2022-04-27
Hawkes Bay,7633,7496,3771,6553,5020,2022-04-27
MidCentral,4539,4459,2293,3692,4468,2022-04-27
Whanganui,1254,1222,632,1034,1381,2022-04-27
Capital and Coast,18447,18205,10367,15686,19177,2022-04-27
Hutt Valley,9551,9387,5132,7981,9894,2022-04-27
Wairarapa,910,891,493,769,837,2022-04-27
Nelson Marlborough,4562,4507,2366,4056,2115,2022-04-27
West Coast,275,269,148,215,282,2022-04-27
Canterbury,12837,12619,6445,10628,12737,2022-04-27
South Canterbury,1013,999,451,860,837,2022-04-27
Southern,7025,6925,3581,5926,6031,2022-04-27
Overseas / Unknown,411,397,186,353,1149,2022-04-27
New Zealand,281834,276928,139186,235393,286681,2022-04-27
