DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2923,2849,1318,2346,2934,2022-03-28
Waitemata,35871,35320,17315,29229,37573,2022-03-28
Auckland,44254,43393,21884,36496,46866,2022-03-28
Counties Manukau,110174,108054,50769,88809,116498,2022-03-28
Waikato,10525,10318,5149,8614,10682,2022-03-28
Lakes,2208,2148,1125,1804,2286,2022-03-28
Bay of Plenty,4951,4857,2199,4138,3679,2022-03-28
Tairawhiti,1078,1055,552,902,965,2022-03-28
Taranaki,1299,1272,607,1014,1270,2022-03-28
Hawkes Bay,7521,7377,3688,6227,5020,2022-03-28
MidCentral,4528,4441,2254,3564,4468,2022-03-28
Whanganui,1251,1218,612,995,1381,2022-03-28
Capital and Coast,18449,18190,10233,15231,19177,2022-03-28
Hutt Valley,9548,9373,5046,7698,9894,2022-03-28
Wairarapa,898,879,473,738,837,2022-03-28
Nelson Marlborough,4598,4540,2343,3957,2115,2022-03-28
West Coast,284,278,151,220,282,2022-03-28
Canterbury,12818,12593,6307,10322,12737,2022-03-28
South Canterbury,1007,992,431,818,837,2022-03-28
Southern,6934,6829,3434,5722,6031,2022-03-28
Overseas / Unknown,412,397,182,337,1149,2022-03-28
New Zealand,281531,276373,136072,229181,286681,2022-03-28
